"name"	"taxRank"	"taxID"	"Max"	"X1..BL60N.cladeReads"	"X2..BL63DP.cladeReads"	"X3..BL67DP.cladeReads"	"X4..BL610DP.cladeReads"	"X6..BL613DP.cladeReads"	"X7..BL616DP.cladeReads"	"lineage"
"Sunguru virus"	"S"	1491491	7	4	7	NA	NA	1	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Rhabdoviridae>unclassified&nbsp;Rhabdoviridae"
"Arboretum virus"	"S"	1479612	2	1	NA	2	2	NA	2	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Rhabdoviridae>unclassified&nbsp;Rhabdoviridae"
"Spodoptera frugiperda rhabdovirus"	"S"	1481139	2	1	NA	2	2	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Rhabdoviridae>unclassified&nbsp;Rhabdoviridae"
"Diachasmimorpha longicaudata rhabdovirus"	"S"	1585246	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Rhabdoviridae>unclassified&nbsp;Rhabdoviridae"
"Wuhan Ant Virus"	"S"	1608100	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Rhabdoviridae>unclassified&nbsp;Rhabdoviridae"
"Berrimah virus"	"S"	318834	3	3	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Rhabdoviridae>Ephemerovirus"
"Ngaingan virus"	"S"	318846	2	2	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Rhabdoviridae>unassigned&nbsp;Rhabdoviridae"
"Vesicular stomatitis New Jersey virus"	"S"	11280	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Rhabdoviridae>Vesiculovirus"
"Sonchus yellow net virus"	"S"	11307	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Rhabdoviridae>Nucleorhabdovirus"
"Perch rhabdovirus"	"S"	1256869	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Rhabdoviridae>Perhabdovirus"
"Feline morbillivirus"	"S"	1170234	3	3	NA	2	NA	1	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Paramyxoviridae>Morbillivirus>unclassified&nbsp;Morbillivirus"
"Measles virus"	"S"	11234	2	2	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Paramyxoviridae>Morbillivirus"
"Mapuera virus"	"S"	43140	3	2	NA	3	1	2	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Paramyxoviridae>Rubulavirus"
"Tuhoko virus 2"	"S"	798073	3	2	NA	NA	NA	3	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Paramyxoviridae>Rubulavirus>unclassified&nbsp;Rubulavirus"
"Porcine parainfluenza virus 1"	"S"	1357321	3	3	NA	1	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Paramyxoviridae>Respirovirus>unclassified&nbsp;Respirovirus"
"Avian paramyxovirus 4"	"S"	28274	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Paramyxoviridae>Avulavirus"
"Avian paramyxovirus 7"	"S"	622416	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Paramyxoviridae>Avulavirus"
"Teviot virus"	"S"	1554501	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Paramyxoviridae>unclassified&nbsp;Paramyxoviridae"
"Soybean cyst nematode socyvirus"	"S"	1034377	17	5	17	NA	2	NA	1	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Nyamiviridae>Socyvirus"
"Marburg marburgvirus"	"S"	11269	13	2	NA	NA	4	2	13	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Filoviridae>Marburgvirus"
"Zaire ebolavirus"	"S"	186538	6	1	2	NA	1	NA	6	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Filoviridae>Ebolavirus"
"Xincheng anphevirus"	"S"	1884460	2	2	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>unassigned&nbsp;Mononegavirales>Anphevirus"
"Suffolk virus"	"S"	1577137	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>unassigned&nbsp;Mononegavirales"
"Passeriform 1 bornavirus"	"S"	1548720	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Mononegavirales>Bornaviridae>Bornavirus"
"Wenzhou Tick Virus"	"S"	1608094	5	5	NA	NA	1	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Bunyaviridae>unclassified&nbsp;Bunyaviridae"
"Shayang Spider Virus 1"	"S"	1608068	5	3	NA	5	2	1	3	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Bunyaviridae>unclassified&nbsp;Bunyaviridae"
"Huangpi Tick Virus 1"	"S"	1608047	2	2	NA	NA	NA	2	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Bunyaviridae>unclassified&nbsp;Bunyaviridae"
"Bean necrotic mosaic virus"	"S"	1033976	6	2	6	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Bunyaviridae>Tospovirus>unclassified&nbsp;Tospovirus"
"Tospovirus kiwifruit/YXW/2014"	"S"	1857323	2	2	NA	NA	NA	NA	1	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Bunyaviridae>Tospovirus>unclassified&nbsp;Tospovirus"
"Capsicum chlorosis virus"	"S"	163325	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Bunyaviridae>Tospovirus>unclassified&nbsp;Tospovirus"
"Groundnut ringspot and Tomato chlorotic spot virus reassortant"	"S"	1027232	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Bunyaviridae>Tospovirus>unclassified&nbsp;Tospovirus>Tospovirus&nbsp;reassortants"
"Heartland virus"	"S"	1216928	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Bunyaviridae>Phlebovirus>unclassified&nbsp;Phlebovirus"
"Toros virus"	"S"	1764085	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Bunyaviridae>Phlebovirus>unclassified&nbsp;Phlebovirus"
"Tula hantavirus"	"S"	37133	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Bunyaviridae>Hantavirus"
"Alethinophid 2 reptarenavirus"	"S"	1653398	4	4	NA	NA	NA	1	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Arenaviridae>Reptarenavirus"
"Bear Canyon mammarenavirus"	"S"	192848	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Arenaviridae>Mammarenavirus"
"Fusarium poae negative-stranded virus 1"	"S"	1849544	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>unclassified&nbsp;ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses"
"Rose rosette virus"	"S"	997821	1	1	NA	NA	NA	NA	NA	"Viruses>ssRNA&nbsp;viruses>ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Unassigned&nbsp;ssRNA&nbsp;negative&#x2011;strand&nbsp;viruses>Emaravirus"
"Sclerotinia sclerotiorum fusarivirus 1"	"S"	1661062	6	2	6	NA	1	3	NA	"Viruses>ssRNA&nbsp;viruses>unclassified&nbsp;ssRNA&nbsp;viruses>Fusarividae"
"Tomato leaf curl Madagascar virus"	"S"	302099	17	17	13	5	3	5	4	"Viruses>ssDNA&nbsp;viruses>Geminiviridae>Begomovirus"
"Corchorus yellow spot virus"	"S"	403897	2	2	NA	NA	NA	NA	NA	"Viruses>ssDNA&nbsp;viruses>Geminiviridae>Begomovirus"
"Soybean mild mottle virus"	"S"	761701	1	1	NA	NA	1	NA	NA	"Viruses>ssDNA&nbsp;viruses>Geminiviridae>Begomovirus"
"McMurdo Ice Shelf pond-associated circular DNA virus-3"	"S"	1521387	18	18	15	2	NA	2	NA	"Viruses>ssDNA&nbsp;viruses>unclassified&nbsp;ssDNA&nbsp;viruses"
"Gastropod associated circular ssDNA virus"	"S"	1296573	1	1	NA	1	NA	NA	NA	"Viruses>ssDNA&nbsp;viruses>unclassified&nbsp;ssDNA&nbsp;viruses"
"Bat adeno-associated virus YNM"	"S"	727962	3	3	NA	1	NA	NA	NA	"Viruses>ssDNA&nbsp;viruses>Parvoviridae>Parvovirinae>Dependoparvovirus>unclassified&nbsp;Dependovirus"
"Adeno-associated dependoparvovirus A"	"S"	1511891	4	3	NA	4	3	NA	2	"Viruses>ssDNA&nbsp;viruses>Parvoviridae>Parvovirinae>Dependoparvovirus"
"Anseriform dependoparvovirus 1"	"S"	1511895	1	1	NA	NA	1	NA	NA	"Viruses>ssDNA&nbsp;viruses>Parvoviridae>Parvovirinae>Dependoparvovirus"
"Bufavirus-3"	"S"	1391667	1	1	NA	NA	NA	NA	NA	"Viruses>ssDNA&nbsp;viruses>Parvoviridae>Parvovirinae>unclassified&nbsp;Parvovirinae"
"Microviridae phi-CA82"	"S"	913970	6	3	NA	2	6	NA	6	"Viruses>ssDNA&nbsp;viruses>Microviridae>unclassified&nbsp;Microviridae"
"Microviridae IME-16"	"S"	1544364	3	3	NA	NA	NA	NA	NA	"Viruses>ssDNA&nbsp;viruses>Microviridae>unclassified&nbsp;Microviridae"
"Microviridae Fen418_41"	"S"	1655653	2	1	NA	NA	2	NA	1	"Viruses>ssDNA&nbsp;viruses>Microviridae>unclassified&nbsp;Microviridae"
"Spiroplasma phage 4"	"S"	10855	3	1	NA	2	NA	NA	3	"Viruses>ssDNA&nbsp;viruses>Microviridae>Gokushovirinae>Spiromicrovirus"
"Human cyclovirus"	"S"	1455626	3	3	NA	1	1	1	NA	"Viruses>ssDNA&nbsp;viruses>Circoviridae>unclassified&nbsp;Circoviridae>suggested&nbsp;genus&nbsp;Cyclovirus"
"Mosquito circovirus"	"S"	1611039	18	1	NA	NA	4	5	18	"Viruses>ssDNA&nbsp;viruses>Circoviridae>unclassified&nbsp;Circoviridae"
"Avon-Heathcote Estuary associated circular virus 19"	"S"	1618242	7	1	7	NA	NA	NA	NA	"Viruses>ssDNA&nbsp;viruses>Circoviridae>unclassified&nbsp;Circoviridae"
"Circoviridae 3 LDMD-2013"	"S"	1379707	3	3	NA	NA	NA	NA	NA	"Viruses>ssDNA&nbsp;viruses>Circoviridae>environmental&nbsp;samples"
"Torque teno virus 6"	"S"	687345	1	1	NA	NA	NA	NA	NA	"Viruses>ssDNA&nbsp;viruses>Anelloviridae>Alphatorquevirus"
"Mollivirus sibericum"	"S"	1678078	25	25	7	5	13	18	9	"Viruses>unclassified&nbsp;viruses"
"Black howler monkey smacovirus"	"S"	1603066	7	7	NA	NA	NA	1	NA	"Viruses>unclassified&nbsp;viruses>Smacovirusgroup"
"Bovine faeces associated smacovirus 4"	"S"	1843752	1	1	NA	NA	NA	NA	NA	"Viruses>unclassified&nbsp;viruses>Smacovirusgroup"
"Tongilchon virus 1"	"S"	1758878	3	3	NA	NA	NA	NA	NA	"Viruses>unclassified&nbsp;viruses"
"Tanay virus"	"S"	1489714	1	1	NA	1	NA	NA	1	"Viruses>unclassified&nbsp;viruses"
"Lake Sarah-associated circular virus-51"	"S"	1685781	3	1	NA	NA	NA	3	NA	"Viruses>unclassified&nbsp;viruses"
"Deer faeces associated circular DNA virus 1"	"S"	1843767	1	1	NA	NA	NA	NA	NA	"Viruses>unclassified&nbsp;viruses"
"Mongoose feces-associated gemycircularvirus a"	"S"	1634485	1	1	NA	NA	NA	NA	NA	"Viruses>unclassified&nbsp;viruses>Genomoviridae>Gemycircularvirus>unclassified&nbsp;Gemycircularvirus"
"Burke-Gilman virus"	"S"	1916647	10	1	6	1	4	5	10	"Viruses>unclassified&nbsp;viruses"
"Southern rice black-streaked dwarf virus"	"S"	519497	4	4	NA	NA	NA	NA	NA	"Viruses>dsRNA&nbsp;viruses>Reoviridae>Spinareovirinae>Fijivirus>unclassified&nbsp;Fijivirus"
"Etheostoma fonticola aquareovirus"	"S"	1862978	3	3	NA	NA	NA	NA	NA	"Viruses>dsRNA&nbsp;viruses>Reoviridae>Spinareovirinae>Aquareovirus>unclassified&nbsp;Aquareovirus"
"Pteropine orthoreovirus"	"S"	1459003	2	2	NA	NA	NA	2	NA	"Viruses>dsRNA&nbsp;viruses>Reoviridae>Spinareovirinae>Orthoreovirus"
"Colorado tick fever virus"	"S"	46839	2	2	NA	NA	NA	NA	NA	"Viruses>dsRNA&nbsp;viruses>Reoviridae>Spinareovirinae>Coltivirus"
"Cypovirus 15"	"S"	205910	2	2	NA	NA	NA	NA	NA	"Viruses>dsRNA&nbsp;viruses>Reoviridae>Spinareovirinae>Cypovirus"
"Mycoreovirus 1"	"S"	311228	1	1	NA	NA	NA	NA	NA	"Viruses>dsRNA&nbsp;viruses>Reoviridae>Spinareovirinae>Mycoreovirus"
"Rotavirus I"	"S"	1637496	2	2	NA	1	NA	NA	NA	"Viruses>dsRNA&nbsp;viruses>Reoviridae>Sedoreovirinae>Rotavirus>unclassified&nbsp;rotaviruses"
"Rotavirus B"	"S"	28876	4	1	NA	2	1	NA	4	"Viruses>dsRNA&nbsp;viruses>Reoviridae>Sedoreovirinae>Rotavirus"
"Rotavirus D"	"S"	335100	1	1	NA	NA	NA	NA	NA	"Viruses>dsRNA&nbsp;viruses>Reoviridae>Sedoreovirinae>Rotavirus"
"African horse sickness virus"	"S"	40050	1	1	NA	NA	NA	NA	NA	"Viruses>dsRNA&nbsp;viruses>Reoviridae>Sedoreovirinae>Orbivirus"
"Mobuck virus"	"S"	1408137	3	1	NA	3	NA	2	NA	"Viruses>dsRNA&nbsp;viruses>Reoviridae>Sedoreovirinae>Orbivirus>unclassified&nbsp;Orbivirus"
"Banna virus"	"S"	77763	1	1	NA	NA	NA	1	NA	"Viruses>dsRNA&nbsp;viruses>Reoviridae>Sedoreovirinae>Seadornavirus"
"Cucumis melo endornavirus"	"S"	1776177	4	4	NA	1	NA	NA	1	"Viruses>dsRNA&nbsp;viruses>Endornaviridae>Endornavirus>unclassified&nbsp;Endornavirus"
"Magnaporthe oryzae chrysovirus 3"	"S"	1343110	3	3	NA	NA	NA	NA	NA	"Viruses>dsRNA&nbsp;viruses>Chrysoviridae>Chrysovirus>unclassified&nbsp;Chrysovirus"
"Glossina hytrovirus"	"S"	1285594	16	7	5	8	16	5	14	"Viruses>unassigned&nbsp;viruses>Hytrosaviridae>Glossinavirus"
"Haloarcula hispanica virus SH1"	"S"	326574	7	1	1	2	2	7	NA	"Viruses>Virus&nbsp;families&nbsp;not&nbsp;assigned&nbsp;to&nbsp;an&nbsp;order>Sphaerolipoviridae>Alphasphaerolipovirus"
"Haloarcula hispanica icosahedral virus 2"	"S"	1154689	1	1	NA	NA	NA	NA	NA	"Viruses>Virus&nbsp;families&nbsp;not&nbsp;assigned&nbsp;to&nbsp;an&nbsp;order>Sphaerolipoviridae>Alphasphaerolipovirus"
"Haloarcula hispanica virus PH1"	"S"	1282967	9	1	9	NA	NA	2	1	"Viruses>Virus&nbsp;families&nbsp;not&nbsp;assigned&nbsp;to&nbsp;an&nbsp;order>Sphaerolipoviridae>Alphasphaerolipovirus"
"Haloarcula californiae icosahedral virus 1"	"S"	1735722	1	1	NA	1	NA	NA	1	"Viruses>Virus&nbsp;families&nbsp;not&nbsp;assigned&nbsp;to&nbsp;an&nbsp;order>Sphaerolipoviridae>unclassified&nbsp;Sphaerolipoviridae"
"Yellowstone Lake virophage 6"	"S"	1557034	3	1	NA	1	1	3	2	"Viruses>unclassified&nbsp;virophages"
"Yellowstone Lake virophage 7"	"S"	1557035	1	1	NA	NA	NA	NA	NA	"Viruses>unclassified&nbsp;virophages"
"Sauropus leaf curl disease associated DNA beta"	"S"	1234171	1	1	NA	NA	NA	NA	NA	"Viruses>Satellites>Satellite&nbsp;Nucleic&nbsp;Acids>Single&nbsp;stranded&nbsp;DNA&nbsp;satellites>Betasatellites>unclassified&nbsp;Begomovirus&#x2011;associated&nbsp;DNA&nbsp;beta&#x2011;like&nbsp;sequences"
"Rubber viroid India/2009"	"S"	758918	10	10	NA	NA	NA	NA	NA	"Viroids>unclassified&nbsp;viroids"
"Rhizobium sp. N741"	"S"	1703967	5	NA	5	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Brucella canis"	"S"	36855	36	NA	36	NA	NA	NA	4	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Brucellaceae>Brucella"
"Wolbachia endosymbiont of Onchocerca ochengi"	"S"	100901	5	NA	1	2	3	5	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Wolbachieae>Wolbachia"
"Streptococcus phage M102AD"	"S"	1587907	25	NA	25	1	2	5	3	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Gordonia phage GMA5"	"S"	1647472	25	NA	25	NA	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Streptomyces phage phiSAJS1"	"S"	1755682	25	NA	25	3	5	1	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Mycobacterium phage ShedlockHolmes"	"S"	1647313	22	NA	22	NA	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Tsukamurella phage TPA2"	"S"	981330	20	NA	20	2	NA	NA	3	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Staphylococcus phage StB12"	"S"	1147042	16	NA	16	NA	1	3	1	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Propionibacterium phage PHL113M01"	"S"	1235655	16	NA	16	NA	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Gordonia phage Jumbo"	"S"	1887650	16	NA	16	2	1	1	1	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Propionibacterium phage PHL171"	"S"	1647438	12	NA	12	1	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Gordonia phage Phinally"	"S"	1821560	12	NA	12	2	NA	1	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Erwinia phage PhiEaH1"	"S"	1401669	10	NA	10	3	NA	2	2	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Geobacillus phage GBK2"	"S"	1458842	9	NA	9	1	1	NA	4	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Propionibacterium phage PHL070"	"S"	1647424	9	NA	9	NA	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Propionibacterium phage Pirate"	"S"	1655018	9	NA	9	NA	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Corynebacterium phage P1201"	"S"	384848	8	NA	8	2	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Rhodococcus phage RRH1"	"S"	1109717	8	NA	8	NA	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Tsukamurella phage TPA4"	"S"	1647476	8	NA	8	NA	1	1	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Enterococcus phage vB_EfaS_IME197"	"S"	1747326	8	NA	8	NA	NA	NA	2	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Streptococcus phage MM1"	"S"	120574	7	NA	7	NA	NA	NA	1	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Yersinia phage phiR201"	"S"	1206557	6	NA	6	3	1	1	4	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Lactococcus phage jm2"	"S"	1262535	6	NA	6	1	NA	2	3	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Paenibacillus phage Harrison"	"S"	1636257	16	NA	6	12	16	3	4	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Propionibacterium phage BruceLethal"	"S"	1654740	6	NA	6	NA	NA	4	2	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Enterococcus phage EFAP-1"	"S"	627087	5	NA	5	NA	NA	NA	2	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Staphylococcus phage StB20"	"S"	1147043	7	NA	5	NA	4	NA	7	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Gordonia phage Gsput1"	"S"	1622193	5	NA	5	3	1	4	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Propionibacterium phage PHL092"	"S"	1647427	5	NA	5	NA	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Propionibacterium phage PHL116"	"S"	1647430	5	NA	5	NA	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Mycobacterium phage Mulciber"	"S"	1805459	30	NA	5	NA	1	30	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Gordonia phage Emalyn"	"S"	1821552	5	NA	5	NA	1	NA	2	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Rhodococcus phage ReqiPepy6"	"S"	691965	4	NA	4	1	1	2	2	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Propionibacterium phage PHL055"	"S"	1647421	4	NA	4	NA	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Propionibacterium phage QueenBey"	"S"	1654782	3	NA	3	NA	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Gordonia phage GTE5"	"S"	319522	2	NA	2	NA	NA	NA	NA	"Viruses>dsDNA&nbsp;viruses,&nbsp;no&nbsp;RNA&nbsp;stage>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
